BinBase name	ret.index	quant mz	BB id	PubChem	KEGG	InChI Key	KnownUnknown	Cut into 2 clusters
lactic acid	217657	191	80	612	C01432	JVTAAEKCZFNVCJ-UHFFFAOYSA-N	Unknown	1
kynurenine	769520	192	66577	846	C01718	YGPSJZOEDVAXAB-UHFFFAOYSA-N	Unknown	1
isothreonic acid	489385	292	1679	151152	C00639	JPIJQSOTBSSVTP-GBXIJSLDSA-N	Unknown	1
isoleucine	359251	158	15	6306	C00407	AGPKZVBTJJNPAG-WHFBIAKZSA-N	Unknown	1
isocitric acid	617338	245	32122	5318532	C00451	ODBLHEXUDAPZAU-ZAFYKAAXSA-N	Unknown	1
indoxyl sulfate	577333	277	31543	10258		BXFFHSIDQOFMLE-UHFFFAOYSA-N	Unknown	1
indole-3-acetate	684929	202	69	802	C00954	SEOVTRFCIGRIMH-UHFFFAOYSA-N	Unknown	1
hydroxycarbamate NIST	325318	278	130396	16639161		DRAJWRKLRBNJRQ-UHFFFAOYSA-M	Unknown	1
histidine	664395	154	58170	6274	C00135	HNDVDQJCIGZPNO-YFKPBYRVSA-N	Unknown	1
hexose	642640	319	20287	206	C00738	WQZGKKKJIJFFOK-UHFFFAOYSA-N	Unknown	1
hexadecane	525964	85	120765	11006		DCAYPVUWAIABOU-UHFFFAOYSA-N	Unknown	1
glycyl proline	691357	174	18496	3013625		KZNQNBZMBZJQJO-YFKPBYRVSA-N	Unknown	1
glycine	368707	248	6	750	C00037	DHMQDGOQFOQNFH-UHFFFAOYSA-N	Unknown	1
glycerol	344466	205	30	753	C00116	PEDCQBHIVMGVHV-UHFFFAOYSA-N	Unknown	1
glutaric acid	421260	261	1727	743	C00489	JFCQEDHGNNZCLN-UHFFFAOYSA-N	Unknown	1
glutamic acid	527086	246	16576	33032	C00025	WHUUTDBJXJRKMK-VKHMYHEASA-N	Unknown	1
glucose-1-phosphate	597071	217	62291	65533	C00103	HXXFSFRBOHSIMQ-VFUOTHLCSA-N	Unknown	1
gluconic acid	693148	333	7501	6857417	C00800	RGHNJXZEOKUKBD-QTBDOELSSA-N	Unknown	1
galacturonic acid	678231	333	100864	441476	C08348	AEMOLEFTQBMNLQ-DTEWXJGMSA-N	Unknown	1
fumaric acid	390016	245	14755	444972	C00122	VZCYOOQTPOCHFL-OWOJBTEDSA-N	Unknown	1
fructose	639442	307	21	439709	C02336	RFSUNEUAIZKAJO-ARQDHWQXSA-N	Unknown	1
docosahexaenoic acid	902819	91	87709	445580	C06429	MBMBGCFOFBJSGT-KUBAVDMBSA-N	Unknown	1
dehydroascorbic acid	633423	173	3163	440667	C05422	SBJKKFFYIZUCET-JLAZNSOCSA-N	Unknown	1
cysteine	500158	220	65	5862	C00097	XUJNEKJLAYXESH-REOHCLBHSA-N	Unknown	1
conduritol-beta-expoxide	701723	318	34065	9989541		ZHMWOVGZCINIHW-SPHYCDKFSA-N	Unknown	1
citric acid	617342	273	288	311	C00158	KRKNYBCHXYNGOX-UHFFFAOYSA-N	Unknown	1
cholic acid	1110266	253	183272	221493	C05463	BHQCQFFYRZLCQQ-OELDTZBJSA-N	Unknown	1
capric acid	452386	229	50422	2969	C01571	GHVNFZFCNZKVNT-UHFFFAOYSA-N	Unknown	1
benzylalcohol	280360	165	16321	2879	C01468	WVDDGKGOMKODPV-UHFFFAOYSA-N	Unknown	1
behenic acid	920648	117	46315	8215	C08281	UKMSUNONTOPOIO-UHFFFAOYSA-N	Unknown	1
asparagine	553078	188	146	6267	C00152	DCXYFEDJOCDNAF-REOHCLBHSA-N	Unknown	1
arachidic acid	856421	117	291	10467	C06425	VKOBVWXKNCXXDE-UHFFFAOYSA-N	Unknown	1
aminomalonate	455754	218	413	100714	C00872	JINBYESILADKFW-UHFFFAOYSA-N	Unknown	1
alpha-aminoadipic acid	571057	260	17973	92136	C00956	OYIFNHCXNCRBQI-BYPYZUCNSA-N	Unknown	1
alanine	243971	116	34178	5950	C00041	QNAYBMKLOCPYGJ-REOHCLBHSA-N	Unknown	1
aconitic acid	586815	229	29	643757	C00417	GTZCVFVGUGFEME-IWQZZHSRSA-N	Unknown	1
5-methoxytryptamine	864466	174	284	1833	C05659	JTEJPPKMYBDEMY-UHFFFAOYSA-N	Unknown	1
4-hydroxyphenylacetic acid	542795	179	31555	127	C00642	XQXPVVBIMDBYFF-UHFFFAOYSA-N	Unknown	1
3-hydroxyphenylacetic acid	527648	164	32360	12122	C05593	FVMDYYGIDFPZAX-UHFFFAOYSA-N	Unknown	1
3-hydroxy-3-methylglutaric acid	521554	247	32000	1662	C03761	NPOAOTPXWNWTSH-UHFFFAOYSA-N	Unknown	1
2-ketoisocaproic acid	310761	89	208	70	C00233	BKAJNAXTPSGJCU-UHFFFAOYSA-N	Unknown	1
2-hydroxyglutaric acid	506306	247	2000	43	C02630	HWXBTNAVRSUOJR-UHFFFAOYSA-N	Unknown	1
2-deoxytetronic acid	433456	189	1208	150929		DZAIOXUZHHTJKN-UHFFFAOYSA-N	Unknown	1
2,5-dihydroxypyrazine NIST	397526	241	2254	23368901		USHRADXTTYICIJ-UHFFFAOYSA-N	Unknown	1
1-monopalmitin	901749	129	2070	14900	C01885	QHZLMUACJMDIAE-UHFFFAOYSA-N	Unknown	1
1-methylgalactose NIST	664807	204	477	2108		HOVAGTYPODGVJG-UHFFFAOYSA-N	Unknown	1
1,2-cyclohexanedione	552422	129	103838	13006	C06105	OILAIQUEIWYQPH-UHFFFAOYSA-N	Unknown	1
203801	541614	103	203801				Unknown	1
192876	250143	110	192876				Unknown	1
191801	469696	217	191801				Unknown	1
191798	392937	204	191798				Unknown	1
189321	328066	154	189321				Unknown	1
187854	695806	305	187854				Unknown	1
183216	566550	103	183216				Unknown	1
183139	667334	205	183139				Unknown	1
183055	583838	103	183055				Unknown	1
171305	1134692	441	171305				Unknown	1
170512	390356	271	170512				Unknown	1
170131	617861	196	170131				Unknown	1
170069	280835	145	170069				Unknown	1
161878	361182	341	161878				Unknown	1
161843	674080	129	161843				Unknown	1
161381	564053	140	161381				Unknown	1
135619	917812	132	135619				Unknown	1
134336	493891	85	134336				Unknown	1
133605	655025	273	133605				Unknown	1
133242	391113	85	133242				Unknown	1
132976	822488	111	132976				Unknown	1
131960	721120	117	131960				Unknown	1
131582	669765	202	131582				Unknown	1
127640	598616	217	127640				Unknown	1
126465	238609	88	126465				Unknown	1
126350	395762	147	126350				Unknown	1
125802	891034	204	125802				Unknown	1
124996	505556	166	124996				Unknown	1
124490	804051	290	124490				Unknown	1
124353	440334	257	124353				Unknown	1
122191	286291	187	122191				Unknown	1
121890	360560	155	121890				Unknown	1
121384	970174	334	121384				Unknown	1
120582	210298	174	120582				Unknown	1
120526	294844	99	120526				Unknown	1
119129	750680	103	119129				Unknown	1
